     1        2:1        1:0      +  *0.747  0.253
   125        1:0        1:0         *0.953  0.047
   126        1:0        1:0         *0.537  0.463
   127        1:0        1:0         *0.995  0.005
   128        1:0        1:0         *0.928  0.072
   129        1:0        2:1      +   0.339 *0.661
   130        1:0        1:0         *0.995  0.005
   131        1:0        1:0         *0.944  0.056
   132        1:0        2:1      +   0.212 *0.788
   133        1:0        1:0         *0.945  0.055
   134        1:0        1:0         *0.991  0.009
   135        1:0        1:0         *0.945  0.055
   136        1:0        1:0         *0.989  0.011
   137        1:0        2:1      +   0.269 *0.731
   138        1:0        1:0         *0.997  0.003
   139        1:0        1:0         *0.941  0.059
   140        1:0        2:1      +   0.27  *0.73 
   141        1:0        1:0         *0.867  0.133
   142        1:0        1:0         *0.996  0.004
   143        1:0        1:0         *0.873  0.127
   144        1:0        1:0         *0.958  0.042
   145        1:0        1:0         *0.877  0.123
   146        1:0        1:0         *0.984  0.016
   147        1:0        1:0         *0.963  0.037
   148        1:0        2:1      +   0.339 *0.661
   149        1:0        1:0         *0.705  0.295
   150        1:0        2:1      +   0.454 *0.546
   151        1:0        2:1      +   0.443 *0.557
   152        1:0        1:0         *0.985  0.015
   153        1:0        1:0         *0.987  0.013
   154        1:0        1:0         *0.997  0.003
   155        1:0        2:1      +   0     *1    
   156        1:0        1:0         *0.99   0.01 
   157        1:0        1:0         *0.637  0.363
   158        1:0        1:0         *0.701  0.299
   159        1:0        1:0         *0.966  0.034
   160        1:0        1:0         *0.983  0.017
   161        1:0        1:0         *0.938  0.062
   162        1:0        1:0         *0.99   0.01 
   163        1:0        1:0         *0.972  0.028
   164        1:0        1:0         *0.983  0.017
   165        1:0        1:0         *0.998  0.002
   166        1:0        1:0         *0.976  0.024
   167        1:0        2:1      +   0.259 *0.741
   168        1:0        1:0         *0.995  0.005
   169        1:0        2:1      +   0.213 *0.787
   170        1:0        1:0         *0.966  0.034
   171        1:0        2:1      +   0.09  *0.91 
   172        1:0        1:0         *0.863  0.137
   173        1:0        1:0         *0.873  0.127
   174        1:0        1:0         *0.959  0.041
   175        1:0        1:0         *0.92   0.08 
   176        1:0        1:0         *0.505  0.495
   177        1:0        1:0         *0.884  0.116
   178        1:0        1:0         *0.703  0.297
   179        1:0        1:0         *0.994  0.006
   180        1:0        2:1      +   0.15  *0.85 
   181        1:0        1:0         *0.979  0.021
   182        1:0        1:0         *0.975  0.025
   183        1:0        1:0         *0.981  0.019
   184        1:0        1:0         *0.998  0.002
   185        1:0        1:0         *0.873  0.127
   186        1:0        2:1      +   0.424 *0.576
   187        1:0        1:0         *0.578  0.422
   188        1:0        1:0         *0.986  0.014
   189        1:0        1:0         *0.989  0.011
   190        1:0        1:0         *0.993  0.007
   191        1:0        1:0         *0.872  0.128
   192        1:0        1:0         *0.955  0.045
   193        1:0        1:0         *0.82   0.18 
   194        1:0        1:0         *0.96   0.04 
   195        1:0        1:0         *0.638  0.362
   196        1:0        1:0         *0.792  0.208
   197        1:0        1:0         *0.928  0.072
   198        1:0        1:0         *0.994  0.006
   199        1:0        1:0         *0.987  0.013
   200        1:0        1:0         *0.945  0.055
   201        1:0        1:0         *0.766  0.234
   202        1:0        1:0         *0.994  0.006
   203        1:0        1:0         *0.85   0.15 
   204        1:0        1:0         *0.981  0.019
   205        1:0        1:0         *0.616  0.384
   206        1:0        1:0         *0.789  0.211
   207        1:0        2:1      +   0.277 *0.723
   208        1:0        1:0         *0.744  0.256
   209        1:0        1:0         *0.994  0.006
   210        1:0        1:0         *0.993  0.007
   211        1:0        1:0         *0.751  0.249
   212        1:0        1:0         *0.993  0.007
   213        1:0        1:0         *0.959  0.041
   214        1:0        1:0         *0.976  0.024
   215        1:0        1:0         *0.99   0.01 
   216        1:0        1:0         *0.99   0.01 
   217        1:0        1:0         *0.95   0.05 
   218        1:0        1:0         *0.778  0.222
   219        1:0        1:0         *0.816  0.184
   220        1:0        1:0         *0.974  0.026
   221        1:0        1:0         *0.986  0.014
   222        1:0        1:0         *0.728  0.272
   223        1:0        1:0         *0.805  0.195
   224        1:0        1:0         *0.949  0.051
   225        1:0        1:0         *0.945  0.055
   226        1:0        2:1      +   0.338 *0.662
   227        1:0        1:0         *0.974  0.026
   228        1:0        1:0         *0.952  0.048
   229        1:0        1:0         *0.947  0.053
   230        1:0        1:0         *0.998  0.002
   231        1:0        1:0         *0.944  0.056
   232        1:0        2:1      +   0.279 *0.721
   233        1:0        1:0         *0.629  0.371
   234        1:0        1:0         *0.993  0.007
   235        1:0        1:0         *0.984  0.016
   236        1:0        1:0         *0.98   0.02 
   237        1:0        1:0         *0.957  0.043
   238        1:0        1:0         *0.985  0.015
   239        1:0        1:0         *0.994  0.006
   240        1:0        1:0         *0.914  0.086
   241        1:0        1:0         *0.982  0.018
   242        1:0        1:0         *0.904  0.096
   243        1:0        1:0         *0.908  0.092
   244        1:0        2:1      +   0.016 *0.984
   245        1:0        1:0         *0.534  0.466
   246        1:0        2:1      +   0.333 *0.667
   247        1:0        1:0         *0.865  0.135
   248        1:0        1:0         *0.86   0.14 
   249        1:0        1:0         *0.849  0.151
   250        1:0        2:1      +   0.264 *0.736
   251        1:0        1:0         *0.552  0.448
   252        1:0        1:0         *0.982  0.018
   253        1:0        1:0         *0.971  0.029
   254        1:0        1:0         *0.985  0.015
   255        1:0        1:0         *0.99   0.01 
   256        1:0        1:0         *0.961  0.039
   257        1:0        1:0         *0.977  0.023
   258        1:0        2:1      +   0.353 *0.647
   259        1:0        2:1      +   0.039 *0.961
   260        1:0        1:0         *0.717  0.283
   261        1:0        1:0         *0.897  0.103
   262        1:0        1:0         *0.981  0.019
   263        1:0        1:0         *0.782  0.218
   264        1:0        1:0         *0.823  0.177
   265        1:0        1:0         *0.815  0.185
   266        1:0        1:0         *0.965  0.035
   267        1:0        1:0         *0.946  0.054
   268        1:0        2:1      +   0.113 *0.887
   269        1:0        1:0         *0.724  0.276
   270        1:0        2:1      +   0.007 *0.993
   271        1:0        2:1      +   0.047 *0.953
   272        1:0        1:0         *0.674  0.326
   273        1:0        2:1      +   0.11  *0.89 
   274        1:0        1:0         *0.868  0.132
   275        1:0        1:0         *0.936  0.064
   276        1:0        1:0         *0.528  0.472
   277        1:0        2:1      +   0.015 *0.985
   278        1:0        1:0         *0.993  0.007
   279        1:0        1:0         *0.578  0.422
   280        1:0        1:0         *0.66   0.34 
   281        1:0        1:0         *0.52   0.48 
   282        1:0        2:1      +   0.444 *0.556
   283        1:0        2:1      +   0.232 *0.768
   284        1:0        1:0         *0.933  0.067
   285        1:0        2:1      +   0.195 *0.805
   286        1:0        1:0         *0.867  0.133
   287        1:0        2:1      +   0.493 *0.507
   288        1:0        2:1      +   0.477 *0.523
   289        1:0        1:0         *0.735  0.265
   290        1:0        1:0         *0.988  0.012
   291        1:0        1:0         *0.853  0.147
   292        1:0        2:1      +   0.152 *0.848
   293        1:0        1:0         *0.976  0.024
   294        1:0        1:0         *0.503  0.497
   295        1:0        1:0         *0.627  0.373
   296        1:0        2:1      +   0.063 *0.937
   297        1:0        2:1      +   0.242 *0.758
   298        1:0        2:1      +   0.032 *0.968
   299        1:0        1:0         *0.803  0.197
   300        1:0        1:0         *0.763  0.237
   301        1:0        2:1      +   0.393 *0.607
   302        1:0        2:1      +   0.038 *0.962
   303        1:0        1:0         *0.972  0.028
   304        1:0        1:0         *0.855  0.145
   305        1:0        1:0         *0.678  0.322
   306        1:0        1:0         *0.974  0.026
   307        1:0        1:0         *0.841  0.159
   308        1:0        1:0         *0.864  0.136
   309        1:0        1:0         *0.731  0.269
   310        1:0        1:0         *0.98   0.02 
   311        1:0        1:0         *0.624  0.376
   312        1:0        1:0         *0.91   0.09 
   313        1:0        1:0         *0.891  0.109
   314        1:0        1:0         *0.987  0.013
   315        1:0        1:0         *0.936  0.064
   316        1:0        1:0         *0.984  0.016
   317        1:0        1:0         *0.935  0.065
   318        1:0        1:0         *0.99   0.01 
   319        1:0        2:1      +   0.163 *0.837
   320        1:0        2:1      +   0.114 *0.886
   321        1:0        1:0         *0.982  0.018
   322        1:0        2:1      +   0.125 *0.875
   323        1:0        1:0         *0.974  0.026
   324        1:0        1:0         *0.994  0.006
   325        1:0        2:1      +   0.152 *0.848
   326        1:0        1:0         *0.958  0.042
   327        1:0        2:1      +   0.026 *0.974
   328        1:0        2:1      +   0.042 *0.958
   329        1:0        2:1      +   0.001 *0.999
   330        1:0        1:0         *0.988  0.012
   331        1:0        1:0         *0.581  0.419
   332        1:0        1:0         *0.842  0.158
   333        1:0        1:0         *0.964  0.036
   334        1:0        2:1      +   0.162 *0.838
   335        1:0        2:1      +   0.048 *0.952
   336        1:0        1:0         *0.96   0.04 
   337        1:0        2:1      +   0.45  *0.55 
   338        1:0        1:0         *0.989  0.011
   339        1:0        1:0         *0.974  0.026
   340        1:0        1:0         *0.839  0.161
   341        1:0        1:0         *0.705  0.295
   342        1:0        1:0         *0.968  0.032
   343        1:0        1:0         *0.88   0.12 
   344        1:0        2:1      +   0.435 *0.565
   345        1:0        1:0         *0.991  0.009
   346        1:0        2:1      +   0.208 *0.792
   347        1:0        1:0         *0.85   0.15 
   348        1:0        1:0         *0.915  0.085
   349        1:0        2:1      +   0.357 *0.643
   350        1:0        1:0         *0.8    0.2  
   351        1:0        1:0         *0.89   0.11 
   352        1:0        1:0         *0.968  0.032
   353        1:0        1:0         *0.681  0.319
   354        1:0        2:1      +   0     *1    
   355        1:0        1:0         *0.972  0.028
   356        1:0        1:0         *0.961  0.039
   357        1:0        1:0         *0.978  0.022
   358        1:0        1:0         *0.993  0.007
   359        1:0        1:0         *0.677  0.323
   360        1:0        1:0         *0.994  0.006
   361        1:0        2:1      +   0.048 *0.952
   362        1:0        2:1      +   0.006 *0.994
   363        1:0        2:1      +   0.352 *0.648
   364        1:0        1:0         *0.892  0.108
   365        1:0        1:0         *0.884  0.116
   366        1:0        1:0         *0.969  0.031
   367        1:0        1:0         *0.54   0.46 
   368        1:0        1:0         *0.677  0.323
   369        1:0        2:1      +   0.243 *0.757
   370        1:0        2:1      +   0.321 *0.679
   371        1:0        1:0         *0.893  0.107
   372        1:0        1:0         *0.911  0.089
   373        1:0        1:0         *0.978  0.022
   374        1:0        1:0         *0.963  0.037
   375        1:0        1:0         *0.699  0.301
   376        1:0        1:0         *0.969  0.031
   377        1:0        1:0         *0.995  0.005
   378        1:0        2:1      +   0.111 *0.889
   379        1:0        1:0         *0.995  0.005
   380        1:0        1:0         *0.621  0.379
   381        1:0        1:0         *0.924  0.076
   382        1:0        2:1      +   0.028 *0.972
   383        1:0        1:0         *0.95   0.05 
   384        1:0        1:0         *0.955  0.045
   385        1:0        1:0         *0.933  0.067
   386        1:0        2:1      +   0.017 *0.983
   387        1:0        1:0         *0.965  0.035
   388        1:0        1:0         *0.698  0.302
   389        1:0        1:0         *0.664  0.336
   390        1:0        2:1      +   0.189 *0.811
   391        1:0        2:1      +   0.101 *0.899
   392        1:0        1:0         *0.992  0.008
   393        1:0        1:0         *0.964  0.036
   394        1:0        1:0         *0.995  0.005
   395        1:0        1:0         *0.929  0.071
   396        1:0        1:0         *0.889  0.111
   397        1:0        1:0         *0.984  0.016
   398        1:0        1:0         *0.749  0.251
   399        1:0        1:0         *0.931  0.069
   400        1:0        1:0         *0.895  0.105
   401        1:0        1:0         *0.988  0.012
   402        1:0        1:0         *0.944  0.056
   403        1:0        2:1      +   0.016 *0.984
   404        1:0        2:1      +   0.441 *0.559
   405        1:0        2:1      +   0.034 *0.966
   406        1:0        1:0         *0.997  0.003
   407        1:0        1:0         *0.726  0.274
   408        1:0        2:1      +   0.183 *0.817
   409        1:0        2:1      +   0.373 *0.627
   410        1:0        2:1      +   0.263 *0.737
   411        1:0        1:0         *0.679  0.321
   412        1:0        1:0         *0.845  0.155
   413        1:0        1:0         *0.995  0.005
   414        1:0        1:0         *0.998  0.002
   415        1:0        1:0         *0.698  0.302
   416        1:0        1:0         *0.943  0.057
   417        1:0        1:0         *0.566  0.434
   418        1:0        1:0         *0.994  0.006
   419        1:0        1:0         *0.98   0.02 
   420        1:0        1:0         *0.72   0.28 
   421        1:0        1:0         *0.881  0.119
   422        1:0        1:0         *0.933  0.067
   423        1:0        1:0         *0.875  0.125
   424        1:0        1:0         *0.99   0.01 
   425        1:0        1:0         *0.928  0.072
   426        1:0        1:0         *0.961  0.039
   427        1:0        2:1      +   0.433 *0.567
   428        1:0        1:0         *0.987  0.013
   429        1:0        1:0         *0.908  0.092
   430        1:0        1:0         *0.969  0.031
   431        1:0        1:0         *0.849  0.151
   432        1:0        1:0         *0.925  0.075
   433        1:0        1:0         *0.918  0.082
   434        1:0        1:0         *0.883  0.117
   435        1:0        1:0         *0.849  0.151
   436        1:0        1:0         *0.989  0.011
   437        1:0        1:0         *0.752  0.248
   438        1:0        1:0         *0.976  0.024
   439        1:0        1:0         *0.978  0.022
   440        1:0        1:0         *0.903  0.097
   441        1:0        1:0         *0.981  0.019
   442        1:0        1:0         *0.878  0.122
   443        1:0        1:0         *0.924  0.076
   444        1:0        1:0         *0.995  0.005
   445        1:0        1:0         *0.986  0.014
   446        1:0        2:1      +   0.143 *0.857
   447        1:0        1:0         *0.935  0.065
   448        1:0        1:0         *0.902  0.098
   449        1:0        1:0         *0.922  0.078
   450        1:0        2:1      +   0.048 *0.952
   451        1:0        1:0         *0.973  0.027
   452        1:0        2:1      +   0.411 *0.589
   453        1:0        1:0         *0.942  0.058
   454        1:0        1:0         *0.956  0.044
   455        1:0        1:0         *0.926  0.074
   456        1:0        1:0         *0.985  0.015
   457        1:0        1:0         *0.977  0.023
   458        1:0        1:0         *0.94   0.06 
   459        1:0        2:1      +   0.494 *0.506
   460        1:0        1:0         *0.989  0.011
   461        1:0        1:0         *0.979  0.021
   462        1:0        1:0         *0.917  0.083
   463        1:0        1:0         *0.945  0.055
   464        1:0        1:0         *0.959  0.041
   465        1:0        1:0         *0.944  0.056
   466        1:0        2:1      +   0.12  *0.88 
   467        1:0        1:0         *0.972  0.028
   468        1:0        2:1      +   0.408 *0.592
   469        1:0        1:0         *0.622  0.378
   470        1:0        1:0         *0.996  0.004
   471        1:0        1:0         *0.964  0.036
   472        1:0        2:1      +   0.331 *0.669
   473        1:0        1:0         *0.997  0.003
   474        1:0        1:0         *0.99   0.01 
   475        1:0        1:0         *0.997  0.003
   476        1:0        1:0         *0.992  0.008
   477        1:0        2:1      +   0.383 *0.617
   478        1:0        1:0         *0.954  0.046
   479        1:0        1:0         *0.964  0.036
   480        1:0        1:0         *0.855  0.145
   481        1:0        1:0         *0.988  0.012
   482        1:0        1:0         *0.852  0.148
   483        1:0        1:0         *0.816  0.184
   484        1:0        2:1      +   0.362 *0.638
   485        1:0        1:0         *0.985  0.015
   486        1:0        1:0         *0.889  0.111
   487        1:0        2:1      +   0.471 *0.529
   488        1:0        1:0         *0.882  0.118
   489        1:0        1:0         *0.947  0.053
   490        1:0        1:0         *0.843  0.157
   491        1:0        1:0         *0.989  0.011
   492        1:0        1:0         *0.705  0.295
   493        1:0        1:0         *0.969  0.031
   494        1:0        1:0         *0.989  0.011
   495        1:0        2:1      +   0.434 *0.566
   496        1:0        2:1      +   0.266 *0.734
   497        1:0        1:0         *0.974  0.026
   498        1:0        1:0         *0.986  0.014
   499        1:0        1:0         *0.991  0.009
   500        1:0        1:0         *0.995  0.005
   501        1:0        1:0         *0.987  0.013
   502        1:0        1:0         *0.997  0.003
   503        1:0        1:0         *0.984  0.016
   504        1:0        2:1      +   0.316 *0.684
   505        1:0        1:0         *0.956  0.044
   506        1:0        1:0         *0.993  0.007
   507        1:0        2:1      +   0.023 *0.977
   508        1:0        1:0         *0.975  0.025
   509        1:0        1:0         *0.981  0.019
   510        1:0        1:0         *0.638  0.362
   511        1:0        1:0         *0.995  0.005
   512        1:0        1:0         *0.909  0.091
   513        1:0        1:0         *0.975  0.025
   514        1:0        1:0         *0.947  0.053
   515        1:0        1:0         *0.82   0.18 
   516        1:0        1:0         *0.982  0.018
   517        1:0        1:0         *0.937  0.063
   518        1:0        2:1      +   0.454 *0.546
   519        1:0        1:0         *0.905  0.095
   520        1:0        1:0         *0.999  0.001
   521        1:0        1:0         *0.616  0.384
   522        1:0        1:0         *0.829  0.171
   523        1:0        1:0         *0.964  0.036
   524        1:0        1:0         *0.988  0.012
   525        1:0        1:0         *0.563  0.437
   526        1:0        1:0         *0.572  0.428
   527        1:0        1:0         *0.991  0.009
   528        1:0        1:0         *0.87   0.13 
   529        1:0        1:0         *0.994  0.006
   530        1:0        1:0         *0.757  0.243
   531        1:0        1:0         *0.983  0.017
   532        1:0        1:0         *0.995  0.005
   533        1:0        1:0         *0.992  0.008
   534        1:0        1:0         *0.506  0.494
   535        1:0        1:0         *0.979  0.021
   536        1:0        1:0         *0.991  0.009
   537        1:0        1:0         *0.936  0.064
   538        1:0        2:1      +   0.478 *0.522
   539        1:0        1:0         *0.925  0.075
   540        1:0        1:0         *0.748  0.252
   541        1:0        1:0         *0.993  0.007
   542        1:0        1:0         *0.967  0.033
   543        1:0        1:0         *0.987  0.013
   544        1:0        1:0         *0.945  0.055
   545        1:0        1:0         *0.986  0.014
   546        1:0        2:1      +   0.402 *0.598
   547        1:0        1:0         *0.921  0.079
   548        1:0        1:0         *0.943  0.057
   549        1:0        1:0         *0.991  0.009
   550        1:0        2:1      +   0.353 *0.647
   551        1:0        1:0         *0.973  0.027
   552        1:0        1:0         *0.834  0.166
   553        1:0        1:0         *0.95   0.05 
   554        1:0        1:0         *0.742  0.258
   555        1:0        1:0         *0.942  0.058
   556        1:0        1:0         *0.799  0.201
   557        1:0        1:0         *0.854  0.146
   558        1:0        1:0         *0.988  0.012
   559        1:0        1:0         *0.865  0.135
   560        1:0        1:0         *0.965  0.035
   561        1:0        1:0         *0.983  0.017
   562        1:0        1:0         *0.842  0.158
   563        1:0        1:0         *0.772  0.228
   564        1:0        1:0         *0.992  0.008
   565        1:0        1:0         *0.66   0.34 
   566        1:0        2:1      +   0.004 *0.996
   567        1:0        1:0         *0.955  0.045
   568        1:0        1:0         *0.827  0.173
   569        1:0        1:0         *0.893  0.107
   570        1:0        1:0         *0.763  0.237
   571        1:0        1:0         *0.851  0.149
   572        1:0        1:0         *0.986  0.014
   573        1:0        1:0         *0.661  0.339
   574        1:0        2:1      +   0.007 *0.993
   575        1:0        2:1      +   0.044 *0.956
   576        1:0        1:0         *0.532  0.468
   577        1:0        2:1      +   0.009 *0.991
   578        1:0        1:0         *0.94   0.06 
   579        1:0        1:0         *0.987  0.013
   580        1:0        1:0         *0.905  0.095
   581        1:0        1:0         *0.811  0.189
   582        1:0        2:1      +   0.017 *0.983
   583        1:0        2:1      +   0.069 *0.931
   584        1:0        1:0         *0.837  0.163
   585        1:0        2:1      +   0.384 *0.616
   586        1:0        1:0         *0.951  0.049
   587        1:0        1:0         *0.863  0.137
   588        1:0        1:0         *0.987  0.013
   589        1:0        1:0         *0.788  0.212
   590        1:0        2:1      +   0.231 *0.769
   591        1:0        2:1      +   0.327 *0.673
   592        1:0        1:0         *0.891  0.109
   593        1:0        1:0         *0.714  0.286
   594        1:0        2:1      +   0.122 *0.878
   595        1:0        2:1      +   0.011 *0.989
   596        1:0        1:0         *0.763  0.237
   597        1:0        2:1      +   0.179 *0.821
   598        1:0        1:0         *0.699  0.301
   599        1:0        1:0         *0.925  0.075
   600        1:0        2:1      +   0.074 *0.926
   601        1:0        2:1      +   0.008 *0.992
   602        1:0        1:0         *0.771  0.229
   603        1:0        2:1      +   0.373 *0.627
   604        1:0        2:1      +   0.321 *0.679
   605        1:0        2:1      +   0.462 *0.538
   606        1:0        1:0         *0.873  0.127
   607        1:0        1:0         *0.925  0.075
   608        1:0        1:0         *0.99   0.01 
   609        1:0        2:1      +   0.07  *0.93 
   610        1:0        2:1      +   0.106 *0.894
   611        1:0        2:1      +   0.282 *0.718
   612        1:0        1:0         *0.894  0.106
   613        1:0        2:1      +   0.131 *0.869
   614        1:0        2:1      +   0.04  *0.96 
   615        1:0        1:0         *0.515  0.485
   616        1:0        2:1      +   0.086 *0.914
   617        1:0        2:1      +   0.034 *0.966
   618        1:0        1:0         *0.765  0.235
   619        1:0        2:1      +   0.017 *0.983
   620        1:0        1:0         *0.586  0.414
   621        1:0        1:0         *0.766  0.234
   622        1:0        2:1      +   0.009 *0.991
   623        1:0        1:0         *0.669  0.331
   624        1:0        1:0         *0.982  0.018
   625        1:0        1:0         *0.853  0.147
   626        1:0        1:0         *0.816  0.184
   627        1:0        1:0         *0.83   0.17 
   628        1:0        1:0         *0.874  0.126
   629        1:0        2:1      +   0.256 *0.744
   630        1:0        2:1      +   0.079 *0.921
   631        1:0        2:1      +   0.128 *0.872
   632        1:0        2:1      +   0.107 *0.893
   633        1:0        1:0         *0.942  0.058
   634        1:0        1:0         *0.858  0.142
   635        1:0        2:1      +   0.017 *0.983
   636        1:0        2:1      +   0.369 *0.631
   637        1:0        2:1      +   0.347 *0.653
   638        1:0        1:0         *0.971  0.029
   639        1:0        2:1      +   0.023 *0.977
   640        1:0        2:1      +   0.332 *0.668
   641        1:0        2:1      +   0.029 *0.971
   642        1:0        1:0         *0.732  0.268
   643        1:0        2:1      +   0.013 *0.987
   644        1:0        1:0         *0.972  0.028
   645        1:0        2:1      +   0.327 *0.673
   646        1:0        2:1      +   0.028 *0.972
   647        1:0        1:0         *0.847  0.153
   648        1:0        2:1      +   0.282 *0.718
   649        1:0        2:1      +   0.194 *0.806
   650        1:0        2:1      +   0.055 *0.945
   651        1:0        2:1      +   0.253 *0.747
   652        1:0        2:1      +   0.054 *0.946
   653        1:0        1:0         *0.897  0.103
   654        1:0        2:1      +   0.325 *0.675
   655        1:0        2:1      +   0     *1    
   656        1:0        1:0         *0.537  0.463
   657        1:0        2:1      +   0.432 *0.568
   658        1:0        2:1      +   0.419 *0.581
   659        1:0        2:1      +   0.012 *0.988
   660        1:0        2:1      +   0.392 *0.608
   661        1:0        2:1      +   0.135 *0.865
   662        1:0        1:0         *0.879  0.121
   663        1:0        2:1      +   0.452 *0.548
   664        1:0        2:1      +   0.064 *0.936
   665        1:0        2:1      +   0.191 *0.809
   666        1:0        2:1      +   0.081 *0.919
   667        1:0        2:1      +   0.004 *0.996
   668        1:0        2:1      +   0.111 *0.889
   669        1:0        1:0         *0.974  0.026
   670        1:0        1:0         *0.94   0.06 
   671        1:0        2:1      +   0.237 *0.763
   672        1:0        2:1      +   0.076 *0.924
   673        1:0        1:0         *0.799  0.201
   674        1:0        2:1      +   0.107 *0.893
   675        1:0        1:0         *0.749  0.251
   676        1:0        2:1      +   0.261 *0.739
   677        1:0        1:0         *0.753  0.247
   678        1:0        2:1      +   0.346 *0.654
   679        1:0        1:0         *0.995  0.005
